,ID,Name,Height,Birthday
0,/players/o/ojelese01.html,"
Semi Ojeleye
",78,1994-12-05
1,/players/w/wagnemo01.html,"
Moritz Wagner
",83,1997-04-26
2,/players/a/allenja01.html,"
Jarrett Allen
",83,1998-04-21
3,/players/p/paulch01.html,"
Chris Paul
",73,1985-05-06
4,/players/c/craigto01.html,"
Torrey Craig
",79,1990-12-19
5,/players/b/bacondw01.html,"
Dwayne Bacon
",78,1995-08-30
6,/players/n/ntilila01.html,"
Frank Ntilikina
",76,1998-07-28
7,/players/j/jeromty01.html,"
Ty Jerome
",77,1997-07-08
8,/players/d/derozde01.html,"
DeMar DeRozan
",78,1989-08-07
9,/players/k/kabenmf01.html,"
Mfiondu Kabengele
",81,1997-08-14
10,/players/j/jeffeam01.html,"
Amile Jefferson
",81,1993-05-07
11,/players/b/boldema01.html,"
Marques Bolden
",83,1998-04-17
12,/players/t/thomala01.html,"
Lance Thomas
",80,1988-04-24
13,/players/d/dellama01.html,"
Matthew Dellavedova
",75,1990-09-08
14,/players/b/bogdabo02.html,"
Bojan Bogdanović
",80,1989-04-18
15,/players/b/beverpa01.html,"
Patrick Beverley
",73,1988-07-12
16,/players/b/bogdabo01.html,"
Bogdan Bogdanović
",78,1992-08-18
17,/players/m/mbahalu01.html,"
Luc Mbah a Moute
",80,1986-09-09
18,/players/s/smailal01.html,"
Alen Smailagić
",82,2000-08-18
19,/players/a/antetko01.html,"
Kostas Antetokounmpo
",82,1997-11-20
20,/players/e/ellenhe01.html,"
Henry Ellenson
",82,1997-01-13
21,/players/v/valende01.html,"
Denzel Valentine
",76,1993-11-16
22,/players/p/parsoch01.html,"
Chandler Parsons
",81,1988-10-25
23,/players/l/leverca01.html,"
Caris LeVert
",78,1994-08-25
24,/players/m/mahinia01.html,"
Ian Mahinmi
",83,1986-11-05
25,/players/t/thomakh01.html,"
Khyri Thomas
",75,1996-05-08
26,/players/n/norveza01.html,"
Zach Norvell
",77,1997-12-09
27,/players/g/greenja02.html,"
Javonte Green
",76,1993-07-23
28,/players/w/willike04.html,"
Kenrich Williams
",78,1994-12-02
29,/players/l/leonaka01.html,"
Kawhi Leonard
",79,1991-06-29
30,/players/h/harrish01.html,"
Shaquille Harrison
",79,1993-10-06
31,/players/b/brownbr01.html,"
Bruce Brown
",76,1996-08-15
32,/players/m/martike03.html,"
Kelan Martin
",77,1995-08-03
33,/players/w/whitede01.html,"
Derrick White
",76,1994-07-02
34,/players/w/watsopa01.html,"
Paul Watson
",79,1994-12-30
35,/players/k/kiddst01.html,"
Stanton Kidd
",78,1992-03-18
36,/players/r/roziete01.html,"
Terry Rozier
",73,1994-03-17
37,/players/t/trieral01.html,"
Allonzo Trier
",76,1996-01-17
38,/players/a/adamsst01.html,"
Steven Adams
",83,1993-07-20
39,/players/r/robinmi01.html,"
Mitchell Robinson
",84,1998-04-01
40,/players/j/jamesju01.html,"
Justin James
",79,1997-01-24
41,/players/d/dotsoda01.html,"
Damyean Dotson
",77,1994-05-06
42,/players/l/luwawti01.html,"
Timothé Luwawu-Cabarrot
",79,1995-05-09
43,/players/t/tuckepj01.html,"
P.J. Tucker
",77,1985-05-05
44,/players/a/anderju01.html,"
Justin Anderson
",78,1993-11-19
